event,subevent,aoi_date,geometry,event_date,earlier_date,geometry_event_date_id
EMSN066,EMSN066_2020-01-11,2020-01-11,"POLYGON ((56.83183821779605 27.19456531880049, 57.076067739432084 27.253611709949926, 57.11979300000001 27.072688800000005, 56.892456202 27.025531322, 56.83183821779605 27.19456531880049))",2020-01-11,2019-10-13,728
EMSN066,EMSN066_2020-01-11,2020-01-11,"POLYGON ((57.16624427871566 26.464912861569942, 57.09561494254381 26.453579637795965, 57.07426414255469 26.58663911496183, 57.14489347872654 26.597972338735804, 57.16624427871566 26.464912861569942))",2020-01-11,2019-10-13,736
EMSN066,EMSN066_2020-01-12,2020-01-12,"POLYGON ((57.188372800230034 26.190923037655548, 59.24308927376881 26.178455790558203, 59.23838136288837 25.402548971155905, 57.18366488934959 25.415016218253243, 57.188372800230034 26.190923037655548))",2020-01-11,2019-10-13,732
EMSN066,EMSN066_2020-01-14,2020-01-14,"POLYGON ((57.188372800230034 26.190923037655548, 59.24308927376881 26.178455790558203, 59.23838136288837 25.402548971155905, 57.18366488934959 25.415016218253243, 57.188372800230034 26.190923037655548))",2020-01-11,2019-10-13,732
EMSN066,EMSN066_2020-01-14,2020-01-14,"POLYGON ((57.59504176713018 26.373388086460427, 56.6903453128738 27.111992890873054, 57.05607396280567 27.559963728371827, 57.960770417062065 26.821358923959206, 57.59504176713018 26.373388086460427))",2020-01-11,2019-10-13,729
EMSN066,EMSN066_2020-01-16,2020-01-16,"POLYGON ((57.188372800230034 26.190923037655548, 59.24308927376881 26.178455790558203, 59.23838136288837 25.402548971155905, 57.18366488934959 25.415016218253243, 57.188372800230034 26.190923037655548))",2020-01-11,2019-10-13,732
EMSN068,EMSN068_2017-06-30,2017-06-30,"POLYGON ((12.77456872563576 52.84492266845732, 13.304293375987898 52.8517408593056, 13.307340348876993 52.61501286441271, 12.777615698524853 52.608194673564434, 12.77456872563576 52.84492266845732))",2017-06-30,2017-04-01,315
EMSN068,EMSN068_2017-07-01,2017-07-01,"POLYGON ((12.765356048027774 52.83721369720637, 13.300050871090711 52.876110452911156, 13.318434320254282 52.6234020992273, 12.783739497191345 52.5845053435225, 12.765356048027774 52.83721369720637))",2017-06-30,2017-04-01,316
EMSN068,EMSN068_2017-07-03,2017-07-03,"POLYGON ((12.771170025532012 52.838252690373004, 13.287813041385885 52.85986589719856, 13.297926937000943 52.61810290595112, 12.781283921147072 52.596489699125556, 12.771170025532012 52.838252690373004))",2017-06-30,2017-04-01,314
EMSN068,EMSN068_2017-07-04,2017-07-04,"POLYGON ((12.76458926693585 52.83444500059454, 13.285138526477482 52.85976955800112, 13.296838146333359 52.619282494195005, 12.776288886791729 52.59395793678842, 12.76458926693585 52.83444500059454))",2017-06-30,2017-04-01,318
EMSN068,EMSN068_2017-07-10,2017-07-10,"POLYGON ((13.244922976355578 52.64616700248771, 12.779523585246185 52.64246752164005, 12.778004521260598 52.83356770111428, 13.243403912369994 52.837267181961934, 13.244922976355578 52.64616700248771))",2017-06-30,2017-04-01,319
EMSN068,EMSN068_2017-07-16,2017-07-16,"POLYGON ((12.772416051209902 52.82412716654955, 13.24284847424916 52.8299907983053, 13.245120468599117 52.64771130810129, 12.77468804555986 52.641847676345556, 12.772416051209902 52.82412716654955))",2017-06-30,2017-04-01,317
EMSN068,EMSN068_2017-07-22,2017-07-22,"POLYGON ((12.784041961439327 52.873795696575414, 13.249963577699399 52.82897906728698, 13.23022555608446 52.62377909846689, 12.764303939824384 52.66859572775533, 12.784041961439327 52.873795696575414))",2017-06-30,2017-04-01,320
EMSN068,EMSN068_2017-07-28,2017-07-28,"POLYGON ((12.771796768505133 52.86129841542534, 13.291666451322424 52.86825595576592, 13.295069999835368 52.61394170112115, 12.775200317018077 52.60698416078058, 12.771796768505133 52.86129841542534))",2017-06-30,2017-04-01,322
EMSN068,EMSN068_2017-08-03,2017-08-03,"POLYGON ((12.768238266386838 52.83176344916292, 13.272672916662794 52.87528860614364, 13.291935325430947 52.6520469890086, 12.787500675154993 52.60852183202787, 12.768238266386838 52.83176344916292))",2017-06-30,2017-04-01,321
EMSN068,EMSN068_2017-08-09,2017-08-09,"POLYGON ((13.067843614546543 52.83638218757001, 13.026923642089503 52.64291252746537, 12.754521666722075 52.70052714943373, 12.795441639179115 52.89399680953838, 13.067843614546543 52.83638218757001))",2017-06-30,2017-04-01,323
EMSN068,EMSN068_2017-08-15,2017-08-15,"POLYGON ((12.771482002292705 52.84602785302317, 13.053600114830038 52.8543592119878, 13.05962863181328 52.65022038662486, 12.777510519275944 52.64188902766027, 12.771482002292705 52.84602785302317))",2017-06-30,2017-04-01,324
