event,subevent,date,geometry
EMSN066,EMSN066_2020-01-11,2020-01-11,"POLYGON ((57.16752625189297 26.45346498886797, 57.16752625189297 27.253677516430226, 56.83169905465083 27.253677516430226, 56.83169905465083 26.45346498886797, 57.16752625189297 26.45346498886797))"
EMSN066,EMSN066_2020-01-12,2020-01-12,"POLYGON ((59.25307230052173 25.397995233629516, 59.25307230052173 26.195868923072556, 57.18361507126762 26.195868923072556, 57.18361507126762 25.397995233629516, 59.25307230052173 25.397995233629516))"
EMSN066,EMSN066_2020-01-13,2020-01-13,"POLYGON ((61.67349949471443 25.073489769332156, 61.67349949471443 25.91184694008063, 60.58639582749988 25.91184694008063, 60.58639582749988 25.073489769332156, 61.67349949471443 25.073489769332156))"
EMSN066,EMSN066_2020-01-14,2020-01-14,"POLYGON ((59.2801931802768 25.398036160137895, 59.2801931802768 27.560020182176636, 56.6890480543238 27.560020182176636, 56.6890480543238 25.398036160137895, 59.2801931802768 25.398036160137895))"
EMSN066,EMSN066_2020-01-16,2020-01-16,"POLYGON ((59.25307230052173 25.397995233629516, 59.25307230052173 26.195868923072556, 57.18361507126762 26.195868923072556, 57.18361507126762 25.397995233629516, 59.25307230052173 25.397995233629516))"
EMSN068,EMSN068_2017-06-30,2017-06-30,"POLYGON ((13.313572151923829 52.60615583819346, 13.313572151923829 52.853718169484296, 12.765473906179071 52.853718169484296, 12.765473906179071 52.60615583819346, 13.313572151923829 52.60615583819346))"
EMSN068,EMSN068_2017-07-01,2017-07-01,"POLYGON ((13.31979260084078 52.58434822863119, 13.31979260084078 52.87628051662779, 12.763737202413546 52.87628051662779, 12.763737202413546 52.58434822863119, 13.31979260084078 52.58434822863119))"
EMSN068,EMSN068_2017-07-03,2017-07-03,"POLYGON ((13.29850675706271 52.59647173052217, 13.29850675706271 52.859922398815335, 12.768234496571052 52.859922398815335, 12.768234496571052 52.59647173052217, 13.29850675706271 52.59647173052217))"
EMSN068,EMSN068_2017-07-04,2017-07-04,"POLYGON ((13.297484942402908 52.59388166382267, 13.297484942402908 52.859848220616435, 12.76308917551174 52.859848220616435, 12.76308917551174 52.59388166382267, 13.297484942402908 52.59388166382267))"
EMSN068,EMSN068_2017-07-10,2017-07-10,"POLYGON ((13.251071812730057 52.6383282131864, 13.251071812730057 52.841412057544446, 12.769717615101431 52.841412057544446, 12.769717615101431 52.6383282131864, 13.251071812730057 52.6383282131864))"
