id,datetime,cloud_cover,event,event_date,geometry_event_date_id,version,tile,tile_date
S2B_MSIL2A_20191016T064839_N0500_R020_T40RDQ_20230621T093416.SAFE,2019-10-16T07:02:10.084Z,0.0,EMSN066,2020-01-11,728,N0500,T40RDQ,20191016T064839
S2A_MSIL2A_20191021T064921_N0500_R020_T40RDQ_20230712T003347.SAFE,2019-10-21T07:02:12.084Z,2.34,EMSN066,2020-01-11,728,N0500,T40RDQ,20191021T064921
S2B_MSIL2A_20191026T064949_N0500_R020_T40RDQ_20230719T001749.SAFE,2019-10-26T07:02:09.847Z,1.24,EMSN066,2020-01-11,728,N0500,T40RDQ,20191026T064949
S2A_MSIL2A_20191031T065021_N0500_R020_T40RDQ_20230615T073911.SAFE,2019-10-31T07:02:12.024Z,5.58,EMSN066,2020-01-11,728,N0500,T40RDQ,20191031T065021
S2B_MSIL2A_20191105T065049_N0500_R020_T40RDQ_20230622T234300.SAFE,2019-11-05T07:02:08.98Z,0.3,EMSN066,2020-01-11,728,N0500,T40RDQ,20191105T065049
S2A_MSIL2A_20191110T065111_N0500_R020_T40RDQ_20230610T043712.SAFE,2019-11-10T07:02:11.291Z,57.34,EMSN066,2020-01-11,728,N0500,T40RDQ,20191110T065111
S2B_MSIL2A_20191115T065129_N0500_R020_T40RDQ_20230622T050343.SAFE,2019-11-15T07:02:07.516Z,0.44,EMSN066,2020-01-11,728,N0500,T40RDQ,20191115T065129
S2A_MSIL2A_20191120T065201_N0500_R020_T40RDQ_20230704T045227.SAFE,2019-11-20T07:02:09.947Z,99.9,EMSN066,2020-01-11,728,N0500,T40RDQ,20191120T065201
S2B_MSIL2A_20191125T065209_N0500_R020_T40RDQ_20230623T080920.SAFE,2019-11-25T07:02:05.381Z,0.87,EMSN066,2020-01-11,728,N0500,T40RDQ,20191125T065209
S2A_MSIL2A_20191130T065231_N0500_R020_T40RDQ_20230707T053729.SAFE,2019-11-30T07:02:07.979Z,1.37,EMSN066,2020-01-11,728,N0500,T40RDQ,20191130T065231
S2B_MSIL2A_20191205T065239_N0500_R020_T40RDQ_20230619T210602.SAFE,2019-12-05T07:02:02.822Z,12.4,EMSN066,2020-01-11,728,N0500,T40RDQ,20191205T065239
S2A_MSIL2A_20191210T065251_N0500_R020_T40RDQ_20230608T035008.SAFE,2019-12-10T07:02:05.361Z,93.2,EMSN066,2020-01-11,728,N0500,T40RDQ,20191210T065251
S2B_MSIL2A_20191215T065259_N0500_R020_T40RDQ_20230607T191733.SAFE,2019-12-15T07:02:03.479Z,49.92,EMSN066,2020-01-11,728,N0500,T40RDQ,20191215T065259
S2A_MSIL2A_20191220T065301_N0500_R020_T40RDQ_20230619T075015.SAFE,2019-12-20T07:02:02.863Z,0.02,EMSN066,2020-01-11,728,N0500,T40RDQ,20191220T065301
S2B_MSIL2A_20191225T065309_N0500_R020_T40RDQ_20230805T174901.SAFE,2019-12-25T07:02:03.927Z,0.0,EMSN066,2020-01-11,728,N0500,T40RDQ,20191225T065309
S2A_MSIL2A_20191230T065301_N0500_R020_T40RDQ_20230616T214138.SAFE,2019-12-30T07:02:03.568Z,18.64,EMSN066,2020-01-11,728,N0500,T40RDQ,20191230T065301
S2B_MSIL2A_20200104T065249_N0500_R020_T40RDQ_20230701T082627.SAFE,2020-01-04T07:02:03.805Z,6.04,EMSN066,2020-01-11,728,N0500,T40RDQ,20200104T065249
S2A_MSIL2A_20200109T065241_N0500_R020_T40RDQ_20230604T154023.SAFE,2020-01-09T07:02:03.276Z,14.28,EMSN066,2020-01-11,728,N0500,T40RDQ,20200109T065241
S2B_MSIL2A_20191016T064839_N0500_R020_T40RDR_20230621T093416.SAFE,2019-10-16T07:01:55.622Z,1.74,EMSN066,2020-01-11,728,N0500,T40RDR,20191016T064839
S2A_MSIL2A_20191021T064921_N0500_R020_T40RDR_20230712T003347.SAFE,2019-10-21T07:01:57.649Z,1.94,EMSN066,2020-01-11,728,N0500,T40RDR,20191021T064921
S2B_MSIL2A_20191026T064949_N0500_R020_T40RDR_20230719T001749.SAFE,2019-10-26T07:01:55.387Z,0.17,EMSN066,2020-01-11,728,N0500,T40RDR,20191026T064949
S2A_MSIL2A_20191031T065021_N0500_R020_T40RDR_20230615T073911.SAFE,2019-10-31T07:01:57.587Z,35.65,EMSN066,2020-01-11,728,N0500,T40RDR,20191031T065021
S2B_MSIL2A_20191105T065049_N0500_R020_T40RDR_20230622T234300.SAFE,2019-11-05T07:01:54.517Z,1.25,EMSN066,2020-01-11,728,N0500,T40RDR,20191105T065049
S2A_MSIL2A_20191110T065111_N0500_R020_T40RDR_20230610T043712.SAFE,2019-11-10T07:01:56.852Z,12.04,EMSN066,2020-01-11,728,N0500,T40RDR,20191110T065111
S2B_MSIL2A_20191115T065129_N0500_R020_T40RDR_20230622T050343.SAFE,2019-11-15T07:01:53.056Z,8.78,EMSN066,2020-01-11,728,N0500,T40RDR,20191115T065129
